x,y,z
1482,3015,2063
1485,3007,2076
1485,3007,2076
1475,3015,2068
1475,3015,2068
1485,3002,2058
1485,3002,2058
1485,3010,2056
1470,3010,2063
1470,3010,2063
1482,3010,2058
1482,3010,2058
1482,3010,2058
1475,3018,2061
1475,3018,2061
1465,3007,2063
1465,3007,2063
1465,3007,2063
1465,3012,2058
1465,2992,2051
1465,2992,2051
1462,3000,2051
1462,3000,2051
1462,3005,2061
1462,3005,2061
1462,3005,2061
1470,3018,2063
1470,3018,2063
1460,3007,2061
1460,3015,2051
1460,3015,2051
1480,3012,2047
1480,3012,2047
1477,3023,2061
1477,3023,2061
1467,3012,2051
1467,3012,2051
1467,3012,2051
1465,3018,2058
1465,3018,2058
1465,3018,2058
1465,3018,2058
1482,3015,2053
1482,3015,2053
1482,3015,2053
1477,3036,2047
1477,3036,2047
1477,3036,2047
1475,3018,2056
1475,3018,2056
1467,3036,2058
1467,3036,2058
1467,3036,2058
1467,3036,2058
1460,3023,2056
1460,3023,2056
1457,3023,2047
1457,3023,2047
1457,3023,2047
1457,3023,2047
1460,3017,2053
1460,3017,2053
1460,3017,2053
1450,3023,2058
1450,3017,2061
1450,3017,2061
1452,3017,2056
1452,3017,2056
1452,3017,2056
1452,3017,2056
1452,3017,2068
1452,3017,2068
1445,3002,2066
1445,3002,2066
1445,3002,2066
1445,3002,2066
1427,2997,2078
1427,2997,2078
1427,2997,2078
1427,2995,2063
1435,2985,2047
1435,2985,2047
1437,2983,2056
1437,2983,2056
1425,2978,2061
1425,2978,2061
1425,2978,2061
1425,2978,2061
1425,2978,2061
1417,2978,2063
1417,2978,2063
1430,2973,2051
1430,2973,2051
1415,2971,2061
1415,2971,2061
1410,2961,2066
1410,2961,2066
1410,2951,2063
1410,2951,2063
1410,2951,2063
1390,2961,2063
1395,2956,2061
1395,2956,2061
1395,2956,2061
1395,2956,2061
1390,2945,2045
1390,2945,2045
1375,2940,2066
1375,2940,2066
1367,2942,2053
1367,2942,2053
1367,2942,2053
1367,2942,2053
1355,2942,2053
1355,2942,2053
1355,2942,2053
1355,2942,2053
1355,2942,2053
1355,2942,2053
1355,2942,2053
1322,2927,2040
1322,2927,2040
1322,2927,2040
1322,2927,2040
1322,2927,2040
1322,2927,2040
1300,2927,2037
1300,2927,2037
1300,2927,2037
1300,2927,2037
1272,2911,2040
1272,2911,2040
1272,2911,2040
1272,2911,2040
1272,2911,2040
1255,2903,2035
1255,2903,2035
1227,2898,2047
1227,2898,2047
1227,2898,2047
1227,2898,2047
1227,2898,2047
