x,y,z
1570,3897,2237
1570,3897,2237
1565,3900,2230
1565,3900,2230
1565,3900,2230
1577,3910,2240
1577,3910,2240
1577,3913,2232
1577,3913,2232
1577,3913,2232
1580,3911,2242
1580,3911,2242
1590,3900,2237
1590,3900,2237
1590,3900,2237
1590,3900,2237
1590,3900,2237
1590,3900,2237
1587,3890,2232
1587,3890,2232
1587,3890,2232
1587,3890,2232
1595,3880,2217
1595,3880,2217
1595,3880,2217
1595,3880,2217
1595,3880,2217
1597,3876,2222
1597,3876,2222
1597,3876,2222
1600,3880,2240
1600,3880,2240
1612,3861,2242
1612,3861,2242
1612,3861,2242
1612,3861,2242
1612,3861,2242
1620,3868,2247
1620,3868,2247
1620,3868,2247
1620,3868,2247
1620,3868,2247
1620,3868,2247
1617,3851,2235
1617,3851,2235
1617,3851,2235
1617,3851,2235
1640,3853,2242
1640,3853,2242
1640,3853,2242
1640,3853,2242
1640,3853,2242
1642,3853,2237
1642,3853,2237
1642,3853,2237
1647,3841,2242
1647,3841,2242
1630,3840,2235
1630,3840,2235
1630,3840,2235
1630,3840,2235
1630,3840,2235
1640,3835,2250
1640,3835,2250
1640,3835,2250
1640,3835,2250
1640,3835,2250
1640,3835,2250
1640,3835,2250
1640,3835,2250
1640,3835,2250
1640,3835,2250
1655,3806,2240
1655,3806,2240
1642,3810,2240
1642,3810,2240
1642,3810,2240
1667,3810,2247
1667,3810,2247
1667,3810,2247
1662,3806,2235
1662,3806,2235
1675,3810,2237
1675,3810,2237
1660,3806,2242
1660,3806,2242
1660,3806,2242
1677,3806,2247
1677,3806,2247
1667,3806,2227
1667,3806,2227
1667,3806,2227
1667,3806,2227
1667,3806,2227
1700,3781,2247
1700,3781,2247
1700,3781,2247
1692,3776,2250
1692,3776,2250
1695,3796,2237
1695,3796,2237
1695,3796,2237
1687,3770,2245
1687,3770,2245
1687,3770,2245
1692,3770,2240
1692,3770,2240
1695,3781,2250
1695,3781,2250
1695,3767,2230
1695,3767,2230
1695,3767,2230
1692,3767,2245
1692,3767,2245
1695,3752,2230
1695,3752,2230
1695,3752,2230
1700,3747,2235
1700,3747,2235
1715,3750,2245
1715,3750,2245
1715,3750,2245
1715,3750,2245
1715,3750,2245
1715,3745,2232
1715,3745,2232
1715,3745,2232
1715,3745,2232
1715,3745,2232
1715,3745,2232
1707,3726,2227
1707,3726,2227
1707,3726,2227
1707,3726,2227
1715,3713,2222
1715,3713,2222
1715,3713,2222
1715,3713,2222
1715,3713,2222
1712,3706,2222
1712,3706,2222
1712,3706,2222
1722,3700,2225
1722,3700,2225
1722,3697,2210
1722,3697,2210
1722,3697,2210
1722,3697,2210
1722,3697,2210
1725,3685,2220
1725,3685,2220
1725,3685,2220
1725,3685,2220
1725,3685,2220
1725,3685,2220
1722,3675,2220
1722,3675,2220
1722,3675,2220
1722,3675,2220
1745,3661,2212
1745,3661,2212
1745,3661,2212
1745,3661,2212
1745,3661,2212
1735,3653,2207
1735,3653,2207
1735,3653,2207
1737,3646,2212
1737,3646,2212
1735,3643,2227
1735,3643,2227
1735,3643,2227
1735,3643,2227
1735,3643,2227
1747,3622,2217
1747,3622,2217
1730,3625,2220
1730,3625,2220
1730,3625,2220
1730,3625,2220
1730,3625,2220
1737,3610,2210
1737,3610,2210
1737,3610,2210
1735,3602,2217
1735,3602,2217
1727,3586,2222
1727,3586,2222
1727,3586,2222
1742,3586,2220
1742,3586,2220
1742,3586,2220
1747,3581,2197
1747,3581,2197
1755,3581,2190
1755,3581,2190
1747,3576,2202
1747,3576,2202
1747,3576,2202
1760,3573,2200
1760,3573,2200
1755,3573,2192
1755,3573,2192
1755,3573,2192
1745,3555,2207
1760,3562,2217
1760,3562,2217
1760,3552,2222
1760,3552,2222
1760,3552,2222
1757,3540,2205
1757,3540,2205
1765,3547,2205
1765,3547,2205
1765,3547,2205
1757,3521,2197
1757,3521,2197
1757,3537,2195
1757,3537,2195
1757,3523,2210
1757,3523,2210
1757,3523,2210
1757,3523,2210
1757,3523,2210
1780,3528,2192
1780,3528,2192
1780,3528,2192
1757,3503,2210
1757,3503,2210
1762,3495,2192
1762,3495,2192
1762,3495,2192
1762,3495,2192
1762,3495,2192
1765,3492,2205
1765,3492,2205
1765,3492,2205
1765,3492,2205
1765,3492,2205
1765,3492,2205
1767,3477,2200
1767,3477,2200
1767,3477,2200
1767,3477,2200
1775,3490,2205
1775,3490,2205
1775,3490,2205
1775,3490,2205
1775,3490,2205
1780,3461,2192
1780,3461,2192
1780,3461,2192
1760,3463,2200
1760,3463,2200
1767,3465,2202
1767,3465,2202
1767,3465,2202
1767,3465,2202
1767,3465,2202
1765,3446,2185
1765,3446,2185
1765,3446,2185
1765,3446,2185
1765,3446,2185
1765,3446,2185
1762,3436,2187
1762,3436,2187
1762,3436,2187
